id,city,city_aka,state,country,iso3,continent,lat,lon,gmp,population_city,population_country,traffic_mortality,literacy_rate,avg_height,med_age,gini,traffic_index,videos,time_of_day,start_time,end_time,vehicle_type,upload_date,channel
5093,Bidart,[],,France,FRA,Europe,43.4391702,-1.5898909,0.0,5021,66351959,5.1,0.0,172.0,41.4,32.4,0.0,[hGeyY-C5AcE],[[0]],[[15]],[[447]],[0],[27122021],[UCg1sAFKjbgemJnIODXe_2BQ]
5094,Tarnos,[],,France,FRA,Europe,43.5405622,-1.4611915,0.0,11554,66351959,5.1,0.0,172.0,41.4,32.4,30.23,[5zE7w24NXKc],[[0]],[[20]],[[371]],[0],[27122021],[UCg1sAFKjbgemJnIODXe_2BQ]
5095,Hennebont,[],,France,FRA,Europe,47.8058026,-3.2751174,0.0,14288,66351959,5.1,0.0,172.0,41.4,32.4,19.23,[ryHZ73MUrMk],[[0]],[[25]],[[352]],[0],[27122021],[UCg1sAFKjbgemJnIODXe_2BQ]
5096,Belin-Béliet,[],,France,FRA,Europe,44.4930554,-0.7906699,0.0,2991,66351959,5.1,0.0,172.0,41.4,32.4,0.0,[NMMcYHLOYGY],[[0]],[[21]],[[338]],[0],[27122021],[UCg1sAFKjbgemJnIODXe_2BQ]
5122,Argentan,[],,France,FRA,Europe,48.74289,-0.0223386,0.0,18230,66351959,5.1,0.0,172.0,41.4,32.4,0.0,[yW49e__MWmA],[[0]],[[16]],[[420]],[0],[09102021],[UCg1sAFKjbgemJnIODXe_2BQ]
5123,Alençon,[Alencon],,France,FRA,Europe,48.4312059,0.0911374,0.0,30786,66351959,5.1,0.0,172.0,41.4,32.4,0.0,[Chm-W8-P2p4],[[0]],[[25]],[[653]],[0],[09102021],[UCg1sAFKjbgemJnIODXe_2BQ]
5331,Épernay,[Epernay],,France,FRA,Europe,49.042561,3.9528655,0.0,27082,66351959,5.1,0.0,172.0,41.4,32.4,36.0,[kRrUCEjMSo4],[[0]],[[18]],[[470]],[0],[09042020],[UCg1sAFKjbgemJnIODXe_2BQ]
5455,Visby,[],,Sweden,SWE,Europe,57.6379361,18.297982,0.0,23402,10605098,3.1,0.0,174.0,41.0,30.0,0.0,"[Dll0RDpg2dA,EFOCpjBYZb0,lA6e5nSmuww,Id-5xvzGg0w,McRaxt6CxG0,2VjvdTdaiVw,WpajM6FEa2A,rUP8_lw2QI8,1hrYHkocj5E,rPfBj2QO-K8,NlfsS4uEpwI,eiF3_oknMII]","[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]]","[[240],[12],[16],[10],[10],[10],[10],[10],[10],[10],[10],[0]]","[[910],[1644],[481],[364],[349],[420],[343],[480],[610],[310],[460],[403]]","[0,0,0,0,0,0,0,0,0,0,0,0]","[14082023,1112020,22102020,22102020,21052020,20052020,19052020,18052020,16052020,16052020,15052020,14052021]","[UC6XIzpZ3F7-aG4Dv9MzVgeA,UC1oHL0aBEUx0NUgBRU3cpRQ,UC1oHL0aBEUx0NUgBRU3cpRQ,UC1oHL0aBEUx0NUgBRU3cpRQ,UC1oHL0aBEUx0NUgBRU3cpRQ,UC1oHL0aBEUx0NUgBRU3cpRQ,UC1oHL0aBEUx0NUgBRU3cpRQ,UC1oHL0aBEUx0NUgBRU3cpRQ,UC1oHL0aBEUx0NUgBRU3cpRQ,UC1oHL0aBEUx0NUgBRU3cpRQ,UC1oHL0aBEUx0NUgBRU3cpRQ,UCYU1p7dPNHiwmxpPeGgwA-w]"
5456,Värmdö,[Varmdo],,Sweden,SWE,Europe,59.317995,18.448194,0.0,46635,10605098,3.1,0.0,174.0,41.0,30.0,0.0,"[36z3B8_tHsQ,iLmkmC1jKDg,snnbZJlx_H4]","[[0],[0],[0]]","[[987],[1545],[1064]]","[[1086],[1691],[1182]]","[0,0,0]","[13092021,25032021,13032021]","[UC6XIzpZ3F7-aG4Dv9MzVgeA,UC6XIzpZ3F7-aG4Dv9MzVgeA,UC6XIzpZ3F7-aG4Dv9MzVgeA]"
5457,Gustavsberg,[],,Sweden,SWE,Europe,59.3256235,18.388514,0.0,20774,10605098,3.1,0.0,174.0,41.0,30.0,0.0,"[U5R_GyqCdtc,8cDOx6iUakc,_m7JrUNhQt0]","[[0],[1,1],[0]]","[[49],[181,399],[497]]","[[768],[393,858],[698]]","[0,0,0]","[3092021,25052021,12022021]","[UC6XIzpZ3F7-aG4Dv9MzVgeA,UC6XIzpZ3F7-aG4Dv9MzVgeA,UC6XIzpZ3F7-aG4Dv9MzVgeA]"
